threshold,hidden,target,MRE,k
0.5,100,2,0.6132698336902651,5
0.5,100,3,0.012955851492915327,5
0.5,110,0,0.5874939126014237,5
0.5,110,1,1.3904466576253198,5
0.5,110,2,0.5337437099108115,5
0.5,110,3,0.013755417544128975,5
0.5,120,0,0.7177962528907786,5
0.5,120,1,0.821785873465013,5
0.5,120,2,0.7324863352992314,5
0.5,120,3,0.022722764610522164,5
0.5,130,0,0.7991251279224821,5
0.5,130,1,1.2062590882848387,5
0.5,130,2,0.5035794748678518,5
0.5,130,3,0.014298667359851754,5
0.5,140,0,0.501838499396889,5
0.5,140,1,0.8356701103735489,5
0.5,140,2,0.5165581853484167,5
0.5,140,3,0.014771319577236966,5
0.5,150,0,0.5639042807302375,5
0.5,150,1,1.2608040135142073,5
0.5,150,2,0.5131851106837857,5
0.5,150,3,0.01326874984834564,5
0.5,160,0,0.520292231365402,5
0.5,160,1,0.8692996711682266,5
0.5,160,2,0.5744371881101562,5
0.5,160,3,0.02474521605110098,5
0.5,170,0,0.47505637904281484,5
0.5,170,1,1.086974060271382,5
0.5,170,2,0.5383987109367603,5
0.5,170,3,0.029348941343455368,5
0.5,180,0,0.46216744379433605,5
0.5,180,1,1.15127230220478,5
0.5,180,2,0.6472492171075043,5
0.5,180,3,0.02202788279149188,5
0.5,190,0,0.4538375150999877,5
0.5,190,1,0.7994801524538386,5
0.5,190,2,0.5438819065555819,5
0.5,190,3,0.03958559966585821,5
0.5,200,0,0.520643236510635,5
0.5,200,1,1.5179904250949778,5
0.5,200,2,0.6779557687437056,5
0.5,200,3,0.030448803460185886,5
0.6000000000000001,10,0,0.5539567958870418,5
0.6000000000000001,10,1,0.9654176160109881,5
0.6000000000000001,10,2,0.5863427310939687,5
0.6000000000000001,10,3,0.0270944710270049,5
0.6000000000000001,20,0,0.5397136163991474,5
0.6000000000000001,20,1,1.25598869905568,5
0.6000000000000001,20,2,0.7118491702252937,5
0.6000000000000001,20,3,0.015605713361244717,5
0.6000000000000001,30,0,0.5938429974582232,5
0.6000000000000001,30,1,1.0203377211253026,5
0.6000000000000001,30,2,0.6007293938716989,5
0.6000000000000001,30,3,0.017327745003172645,5
0.6000000000000001,40,0,0.6864334457180068,5
0.6000000000000001,40,1,1.0329390949045336,5
0.6000000000000001,40,2,0.7355022704891414,5
0.6000000000000001,40,3,0.03314528932816626,5
0.6000000000000001,50,0,0.5384035370541322,5
0.6000000000000001,50,1,0.8887033679354829,5
0.6000000000000001,50,2,0.7527307096148511,5
0.6000000000000001,50,3,0.035411425561407216,5
0.6000000000000001,60,0,0.5855031731551507,5
0.6000000000000001,60,1,1.8116372110683694,5
0.6000000000000001,60,2,0.602986730527488,5
0.6000000000000001,60,3,0.028306739572848454,5
0.6000000000000001,70,0,0.534683439944335,5
0.6000000000000001,70,1,1.642522502755518,5
0.6000000000000001,70,2,0.5863220322839761,5
0.6000000000000001,70,3,0.01100621139015004,5
0.6000000000000001,80,0,0.7991079172445332,5
0.6000000000000001,80,1,1.3967506648850099,5
0.6000000000000001,80,2,0.7113524594568503,5
0.6000000000000001,80,3,0.03516750726781719,5
0.6000000000000001,90,0,0.44822084167091025,5
0.6000000000000001,90,1,1.1595978304971943,5
0.6000000000000001,90,2,0.6339070496341538,5
0.6000000000000001,90,3,0.012528731627957092,5
0.6000000000000001,100,0,0.6424504479836588,5
0.6000000000000001,100,1,1.4795346764719994,5
0.6000000000000001,100,2,0.6132698336902651,5
0.6000000000000001,100,3,0.012955851492915327,5
0.6000000000000001,110,0,0.5874939126014237,5
0.6000000000000001,110,1,1.3904466576253198,5
0.6000000000000001,110,2,0.5337437099108115,5
0.6000000000000001,110,3,0.013755417544128975,5
0.6000000000000001,120,0,0.7177962528907786,5
0.6000000000000001,120,1,0.821785873465013,5
0.6000000000000001,120,2,0.7324863352992314,5
0.6000000000000001,120,3,0.022722764610522164,5
0.6000000000000001,130,0,0.7991251279224821,5
0.6000000000000001,130,1,1.2062590882848387,5
0.6000000000000001,130,2,0.5035794748678518,5
0.6000000000000001,130,3,0.014298667359851754,5
0.6000000000000001,140,0,0.501838499396889,5
0.6000000000000001,140,1,0.8356701103735489,5
0.6000000000000001,140,2,0.5165581853484167,5
0.6000000000000001,140,3,0.014771319577236966,5
0.6000000000000001,150,0,0.5639042807302375,5
0.6000000000000001,150,1,1.2608040135142073,5
0.6000000000000001,150,2,0.5131851106837857,5
0.6000000000000001,150,3,0.01326874984834564,5
0.6000000000000001,160,0,0.520292231365402,5
0.6000000000000001,160,1,0.8692996711682266,5
0.6000000000000001,160,2,0.5744371881101562,5
0.6000000000000001,160,3,0.02474521605110098,5
0.6000000000000001,170,0,0.47505637904281484,5
0.6000000000000001,170,1,1.086974060271382,5
0.6000000000000001,170,2,0.5383987109367603,5
0.6000000000000001,170,3,0.029348941343455368,5
0.6000000000000001,180,0,0.46216744379433605,5
0.6000000000000001,180,1,1.15127230220478,5
0.6000000000000001,180,2,0.6472492171075043,5
0.6000000000000001,180,3,0.02202788279149188,5
0.6000000000000001,190,0,0.4538375150999877,5
0.6000000000000001,190,1,0.7994801524538386,5
0.6000000000000001,190,2,0.5438819065555819,5
0.6000000000000001,190,3,0.03958559966585821,5
0.6000000000000001,200,0,0.520643236510635,5
0.6000000000000001,200,1,1.5179904250949778,5
0.6000000000000001,200,2,0.6779557687437056,5
0.6000000000000001,200,3,0.030448803460185886,5
0.7000000000000001,10,0,0.5539567958870418,5
0.7000000000000001,10,1,0.9654176160109881,5
0.7000000000000001,10,2,0.5863427310939687,5
0.7000000000000001,10,3,0.0270944710270049,5
0.7000000000000001,20,0,0.5397136163991474,5
0.7000000000000001,20,1,1.25598869905568,5
0.7000000000000001,20,2,0.7118491702252937,5
0.7000000000000001,20,3,0.015605713361244717,5
0.7000000000000001,30,0,0.5938429974582232,5
0.7000000000000001,30,1,1.0203377211253026,5
0.7000000000000001,30,2,0.6007293938716989,5
0.7000000000000001,30,3,0.017327745003172645,5
0.7000000000000001,40,0,0.6864334457180068,5
0.7000000000000001,40,1,1.0329390949045336,5
0.7000000000000001,40,2,0.7355022704891414,5
0.7000000000000001,40,3,0.03314528932816626,5
0.7000000000000001,50,0,0.5384035370541322,5
0.7000000000000001,50,1,0.8887033679354829,5
0.7000000000000001,50,2,0.7527307096148511,5
0.7000000000000001,50,3,0.035411425561407216,5
0.7000000000000001,60,0,0.5855031731551507,5
0.7000000000000001,60,1,1.8116372110683694,5
0.7000000000000001,60,2,0.602986730527488,5
0.7000000000000001,60,3,0.028306739572848454,5
0.7000000000000001,70,0,0.534683439944335,5
0.7000000000000001,70,1,1.642522502755518,5
0.7000000000000001,70,2,0.5863220322839761,5
0.7000000000000001,70,3,0.01100621139015004,5
0.7000000000000001,80,0,0.7991079172445332,5
0.7000000000000001,80,1,1.3967506648850099,5
0.7000000000000001,80,2,0.7113524594568503,5
0.7000000000000001,80,3,0.03516750726781719,5
0.7000000000000001,90,0,0.44822084167091025,5
0.7000000000000001,90,1,1.1595978304971943,5
0.7000000000000001,90,2,0.6339070496341538,5
0.7000000000000001,90,3,0.012528731627957092,5
0.7000000000000001,100,0,0.6424504479836588,5
0.7000000000000001,100,1,1.4795346764719994,5
0.7000000000000001,100,2,0.6132698336902651,5
0.7000000000000001,100,3,0.012955851492915327,5
0.7000000000000001,110,0,0.5874939126014237,5
0.7000000000000001,110,1,1.3904466576253198,5
0.7000000000000001,110,2,0.5337437099108115,5
0.7000000000000001,110,3,0.013755417544128975,5
0.7000000000000001,120,0,0.7177962528907786,5
0.7000000000000001,120,1,0.821785873465013,5
